,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
61,-0.759827484049128,NP_001128165,NP_001128165.1,NM_001134693.2
62,1.47946056215386,NP_001135757,NP_001135757.1,NM_001142285.2
63,-1.04649440904364,NP_001136336,NP_001136336.2,NM_001142864.4
64,2.0176485895623,NP_001137229,NP_001137229.1,NM_001143757.2
65,-1.17640445775255,NP_001138616,NP_001138616.1,NM_001145144.2
66,-0.779955300371053,NP_001139139,NP_001139139.1,NM_001145667.2
67,-1.46684273312215,NP_001156787,NP_001156787.2,NM_001163315.3
68,1.26234521573105,NP_001159359,NP_001159359.1,NM_001165887.2
69,-0.927073933569123,NP_001164626,NP_001164626.1,NM_001171155.2
70,1.41410373436335,NP_001170782,NP_001170782.1,NM_001177311.2
71,1.31006840013694,NP_001171968,NP_001171968.1,NM_001185039.2
72,-0.785753628474728,NP_001185611,NP_001185611.1,NM_001198682.2
73,2.16338670082321,NP_001186189,NP_001186189.1,NM_001199260.2
74,1.4396889386162,NP_001188299,NP_001188299.1,NM_001201370.2
75,2.44204170762006,NP_001193901,NP_001193901.1,NM_001206972.3
76,1.48655779829488,NP_001193903,NP_001193903.1,NM_001206974.2
77,-0.938079012766161,NP_001229795,NP_001229795.1,NM_001242866.3
78,-0.778263899141695,NP_001230178,NP_001230178.1,NM_001243249.2
79,2.48514177147128,NP_001230808,NP_001230808.1,NM_001243879.2
80,-1.42536828244457,NP_001238982,NP_001238982.1,NM_001252053.1
81,2.15344226541466,NP_001239020,NP_001239020.1,NM_001252091.1
82,1.40918913540953,NP_001243354,NP_001243354.2,NM_001256425.2
83,-1.44041399528622,NP_001249,NP_001249.1,NM_001258.4
84,-1.2661516345856,NP_001264214,NP_001264214.1,NM_001277285.4
85,1.94186021706985,NP_001269833,NP_001269833.1,NM_001282904.2
86,2.87581228999678,NP_001271159,NP_001271159.1,NM_001284230.2
87,2.03973261935797,NP_001271160,NP_001271160.1,NM_001284231.1
88,1.08782854749035,NP_001271286,NP_001271286.1,NM_001284357.2
89,-1.49449163585161,NP_001276972,NP_001276972.1,NM_001290043.2
90,-1.49449163585161,NP_001276972,NP_001276972.1-4,NM_001290043.2-4
91,-1.49449163585161,NP_001276972,NP_001276972.1-5,NM_001290043.2-5
92,-0.840907384106604,NP_001278511,NP_001278511.1,NM_001291582.2
93,-0.723365611838341,NP_001278907,NP_001278907.1,NM_001291978.2
94,1.99986199673963,NP_001284498,NP_001284498.1,NM_001297569.2
95,-2.53665409572305,NP_001284532,NP_001284532.1,NM_001297603.3
96,-1.1634878176061,NP_001294853,NP_001294853.1,NM_001307924.3
97,2.34289055047398,NP_001295161,NP_001295161.1,NM_001308232.2
98,1.16596301693524,NP_001297148,NP_001297148.1,NM_001310219.2
99,1.34419993288535,NP_001303827,NP_001303827.1,NM_001316898.2
100,1.03185951997157,NP_001307519,NP_001307519.1,NM_001320590.2
101,0.886052372338794,NP_001308192,NP_001308192.1,NM_001321263.2
102,1.65299934895015,NP_001308991,NP_001308991.2,NM_001322062.2
103,2.37284826047509,NP_001309991,NP_001309991.1,NM_001323062.2
104,2.11018821336975,NP_001311192,NP_001311192.1,NM_001324263.1
105,2.0628523654262,NP_001311197,NP_001311197.1,NM_001324268.1
106,2.99350500761571,NP_001313244,NP_001313244.1,NM_001326315.2
107,1.97958380656319,NP_001316538,NP_001316538.1,NM_001329609.2
108,-0.883055523739629,NP_001317,NP_001317.1,NM_001326.3
109,0.661525758312923,NP_001317393,NP_001317393.1,NM_001330464.2
110,-1.10539067359011,NP_001317919,NP_001317919.1,NM_001330990.2
111,1.50722311418475,NP_001333486,NP_001333486.1,NM_001346557.2
112,1.26093500261982,NP_001333635,NP_001333635.1,NM_001346706.2
113,1.40125697999684,NP_001337584,NP_001337584.1,NM_001350655.2
114,1.36106673356011,NP_001341674,NP_001341674.1,NM_001354745.2
115,1.77693787948201,NP_001349716,NP_001349716.1,NM_001362787.2
116,-1.14830543957968,NP_001356580,NP_001356580.1,NM_001369651.2
117,0.628310149032992,NP_001356696,NP_001356696.1,NM_001369767.1
118,0.770453926486391,NP_001358407,NP_001358407.1,NM_001371478.1
119,-0.994590254051221,NP_001359108,NP_001359108.1,NM_001372179.1
120,-1.07132819761223,NP_001369295,NP_001369295.1,NM_001382366.1
121,2.47544884907169,NP_001382478,NP_001382478.1,NM_001395549.1
122,1.10454650440956,NP_001385423,NP_001385423.1,NM_001398494.1
123,-0.555262055850182,NP_001395,NP_001395.1,NM_001404.5
124,-1.05433890280204,NP_001397,NP_001397.1,NM_001406.4
125,-0.938291909607859,NP_001439,NP_001439.2,NM_001448.3
126,2.01826845858126,NP_001507,NP_001507.2,NM_001516.5
127,-1.43961137119398,NP_001530,NP_001530.1,NM_001539.4
128,-0.810961354664513,NP_001684,NP_001684.2,NM_001693.4
129,-0.609728709092859,NP_001750,NP_001750.1,NM_001759.4
130,-1.61081588587756,NP_001770,NP_001770.1,NM_001779.3
131,-0.719048251291996,NP_001839,NP_001839.2,NM_001848.3
132,-0.580901379236988,NP_001850,NP_001850.1,NM_001859.4
133,-0.691800027904395,NP_001853,NP_001853.2,NM_001862.3
134,-0.691800027904395,NP_001853,NP_001853.2-2,NM_001862.3-2
135,-0.521015737721073,NP_001958,NP_001958.2,NM_001967.4
136,-0.637629191587322,NP_001988,NP_001988.1,NM_001997.5
137,-0.602087846938296,NP_002158,NP_002158.3,NM_002167.5
138,-0.602087846938296,NP_002158,NP_002158.3-2,NM_002167.5-2
139,-0.594209998277759,NP_002259,NP_002259.1,NM_002268.5
140,-1.26585661376545,NP_002282,NP_002282.2,NM_002291.3
141,-0.601231436910873,NP_002328,NP_002328.1,NM_002337.4
142,-0.730924134474382,NP_002479,NP_002479.1,NM_002488.5
143,-0.87070642481113,NP_002488,NP_002488.1,NM_002497.4
144,-0.906099909479749,NP_002515,NP_002515.1,NM_002524.5
145,-0.670938178494132,NP_002547,NP_002547.1,NM_002556.3
146,1.93037913380823,NP_002548,NP_002548.3,NM_002557.4
147,-1.14238286759649,NP_002720,NP_002720.1,NM_002729.5
